Brand,Brand_Style,Neighbor_Rk,Neighbor_Idx,Neighbor_Dist
Blue Moon Winter Wheat,Spiced Abbey Ale,6,197,27.157476123473053
Cape Line Blackberry Mojito,Sparkling Cocktail,1,14,0
Cape Line Blackberry Mojito,Sparkling Cocktail,2,15,14.934921063361703
Cape Line Blackberry Mojito,Sparkling Cocktail,3,16,18.26210681861612
Cape Line Blackberry Mojito,Sparkling Cocktail,4,211,22.00556767831138
Cape Line Blackberry Mojito,Sparkling Cocktail,5,178,22.01315244315332
Cape Line Blackberry Mojito,Sparkling Cocktail,6,170,22.013769975906744
Cape Line Hard Strawberry Lemonade,Sparkling Cocktail,1,15,0
Cape Line Hard Strawberry Lemonade,Sparkling Cocktail,2,14,14.934921063361703
Cape Line Hard Strawberry Lemonade,Sparkling Cocktail,3,17,18.29625619660882
Cape Line Hard Strawberry Lemonade,Sparkling Cocktail,4,211,22.008717182880158
Cape Line Hard Strawberry Lemonade,Sparkling Cocktail,5,170,22.013174382200155
Cape Line Hard Strawberry Lemonade,Sparkling Cocktail,6,178,22.01481073158706
Cape Line Margarita,Sparkling Cocktail,1,16,0
Cape Line Margarita,Sparkling Cocktail,2,14,18.26210681861612
Cape Line Margarita,Sparkling Cocktail,3,15,23.591447870433697
Cape Line Margarita,Sparkling Cocktail,4,211,24.38730127320768
Cape Line Margarita,Sparkling Cocktail,5,178,24.39414550729256
Cape Line Margarita,Sparkling Cocktail,6,170,24.394702767149838
Cape Line White Peach Sangria,Sparkling Cocktail,1,17,0
Cape Line White Peach Sangria,Sparkling Cocktail,2,15,18.29625619660882
Cape Line White Peach Sangria,Sparkling Cocktail,3,14,23.609607087090225
Cape Line White Peach Sangria,Sparkling Cocktail,4,211,24.4039777334716
Cape Line White Peach Sangria,Sparkling Cocktail,5,214,24.41089470930337
Cape Line White Peach Sangria,Sparkling Cocktail,6,178,24.414204101310354
Colorado Native Amber Lager,American Amber Lager,1,18,0
Colorado Native Amber Lager,American Amber Lager,2,170,0.3403030286992035
Colorado Native Amber Lager,American Amber Lager,3,174,0.36214435894749675
Colorado Native Amber Lager,American Amber Lager,4,178,0.5384542061671539
Colorado Native Amber Lager,American Amber Lager,5,67,0.7811463942483086
Colorado Native Amber Lager,American Amber Lager,6,211,0.8136683602257991
Colorado Native Apricot,Fruited Barrel-Aged Sour,1,19,0
Colorado Native Apricot,Fruited Barrel-Aged Sour,2,18,15.842432816231376
Colorado Native Apricot,Fruited Barrel-Aged Sour,3,174,15.843149838125589
Colorado Native Apricot,Fruited Barrel-Aged Sour,4,170,15.851330138850129
Colorado Native Apricot,Fruited Barrel-Aged Sour,5,178,15.853802153882661
Colorado Native Apricot,Fruited Barrel-Aged Sour,6,214,15.855875021941385
Colorado Native Golden Lager,American Amber Lager,1,20,0
Colorado Native Golden Lager,American Amber Lager,2,26,0.41361005248325083
Colorado Native Golden Lager,American Amber Lager,3,3,0.4198805282520397
Colorado Native Golden Lager,American Amber Lager,4,24,0.4959712415671308
Colorado Native Golden Lager,American Amber Lager,5,67,0.5698120728908515
Colorado Native Golden Lager,American Amber Lager,6,71,0.7226485006871941
Colorado Native Imperial Porter,Imperial Porter,1,21,0
Colorado Native Imperial Porter,Imperial Porter,2,23,5.830554064420868
Colorado Native Imperial Porter,Imperial Porter,3,68,11.914240248786895
Colorado Native Imperial Porter,Imperial Porter,4,165,11.971846035380967
Colorado Native Imperial Porter,Imperial Porter,5,30,12.037506762684544
Colorado Native Imperial Porter,Imperial Porter,6,69,12.038882969312368
Colorado Native Kriek,Fruited Barrel-Aged Sour,1,22,0
Colorado Native Kriek,Fruited Barrel-Aged Sour,2,171,15.850317308442214
Colorado Native Kriek,Fruited Barrel-Aged Sour,3,213,15.854548745280194
Colorado Native Kriek,Fruited Barrel-Aged Sour,4,30,15.856513998216728
Colorado Native Kriek,Fruited Barrel-Aged Sour,5,73,15.863129327608645
Colorado Native Kriek,Fruited Barrel-Aged Sour,6,69,15.86488041207889
Colorado Native LoCal,American-Style Light Lager,1,23,0
Colorado Native LoCal,American-Style Light Lager,2,21,5.830554064420868
Colorado Native LoCal,American-Style Light Lager,3,211,11.9411755534093
Colorado Native LoCal,American-Style Light Lager,4,214,11.944333276157849
Colorado Native LoCal,American-Style Light Lager,5,51,11.953968601999508
Colorado Native LoCal,American-Style Light Lager,6,178,11.961679928353085
Colorado Native Olathe,American Lager,1,24,0
Colorado Native Olathe,American Lager,2,67,0.24569178453506388
Colorado Native Olathe,American Lager,3,3,0.26953920159766137
Colorado Native Olathe,American Lager,4,26,0.36494778067648226
Colorado Native Olathe,American Lager,5,71,0.39905590956642334
Colorado Native Olathe,American Lager,6,51,0.4260575396466086
Colorado Native Peche,Fruited Barrel-Aged Sour,1,25,0
Colorado Native Peche,Fruited Barrel-Aged Sour,2,214,15.848032172166926
Colorado Native Peche,Fruited Barrel-Aged Sour,3,178,15.856185709686992
Colorado Native Peche,Fruited Barrel-Aged Sour,4,174,15.858295578834268
Colorado Native Peche,Fruited Barrel-Aged Sour,5,18,15.85855227059991
Colorado Native Peche,Fruited Barrel-Aged Sour,6,170,15.861551526378227
Colorado Native Pilsner,American-Style Pilsner,1,26,0
Colorado Native Pilsner,American-Style Pilsner,2,3,0.20647352260774715
Colorado Native Pilsner,American-Style Pilsner,3,24,0.36494778067648226
Colorado Native Pilsner,American-Style Pilsner,4,67,0.38263643773493417
Colorado Native Pilsner,American-Style Pilsner,5,20,0.41361005248325083
Colorado Native Pilsner,American-Style Pilsner,6,71,0.564930977202104
Colorado Native Plum,Fruited Barrel-Aged Sour,1,27,0
Colorado Native Plum,Fruited Barrel-Aged Sour,2,202,15.866009844271133
Colorado Native Plum,Fruited Barrel-Aged Sour,3,72,15.869082456914605
Colorado Native Plum,Fruited Barrel-Aged Sour,4,204,15.870549278252138
Colorado Native Plum,Fruited Barrel-Aged Sour,5,174,15.875344435128229
Colorado Native Plum,Fruited Barrel-Aged Sour,6,18,15.876170466875543
Colorado Native Saison,Saison,1,28,0
Colorado Native Saison,Saison,2,51,15.838139529574896
Colorado Native Saison,Saison,3,214,15.841085576420925
Colorado Native Saison,Saison,4,71,15.846048421459747
Colorado Native Saison,Saison,5,24,15.84725530388063
Colorado Native Saison,Saison,6,67,15.852081279418389
Colorado Native West Slope IPA,American IPA,1,29,0
Colorado Native West Slope IPA,American IPA,2,80,0.6125606994797721
Colorado Native West Slope IPA,American IPA,3,213,1.0622415897341528
Colorado Native West Slope IPA,American IPA,4,73,1.1065433087241519
Colorado Native West Slope IPA,American IPA,5,171,1.183113228865135
Colorado Native West Slope IPA,American IPA,6,30,1.2079101469877669
Colorado Native Winterfest,German-Style Bock,1,30,0
Colorado Native Winterfest,German-Style Bock,2,171,0.4656122188604575
Colorado Native Winterfest,German-Style Bock,3,213,0.5536515532515143
Colorado Native Winterfest,German-Style Bock,4,69,0.5862842358322963
Colorado Native Winterfest,German-Style Bock,5,204,0.7342471270219257
Colorado Native Winterfest,German-Style Bock,6,73,0.9008031044482612
Coors Banquet,American-Style Lager,1,31,0
Coors Banquet,American-Style Lager,2,90,0.8696452655753809
Coors Banquet,American-Style Lager,3,87,0.8930726893315859
Coors Banquet,American-Style Lager,4,121,1.1850830112290331
Coors Banquet,American-Style Lager,5,89,1.220254749615369
Coors Banquet,American-Style Lager,6,33,1.3177910615026325
Coors Edge,Non-Alcoholic Lager,1,32,0
Coors Edge,Non-Alcoholic Lager,2,2,5.603860747055596
Coors Edge,Non-Alcoholic Lager,3,123,12.291357851684143
Coors Edge,Non-Alcoholic Lager,4,211,12.41479443642987
Coors Edge,Non-Alcoholic Lager,5,88,12.44638570138373
Coors Edge,Non-Alcoholic Lager,6,126,12.448751740273726
Coors Light,American-Style Light Lager,1,33,0
Coors Light,American-Style Light Lager,2,88,0.13516653346649926
Coors Light,American-Style Light Lager,3,89,0.2069613712929191
Coors Light,American-Style Light Lager,4,121,0.22507772993463435
Coors Light,American-Style Light Lager,5,126,0.2832023227086866
Coors Light,American-Style Light Lager,6,123,1.20644564041771
Coors Non-Alcoholic,Non-Alcoholic Lager,1,34,0
